date,normalized_area,species_presence_count,species_unique_count,schooling_signal_count,surface_activity_signal_count,small_size_signal_count,decent_or_large_size_signal_count,shore_reports_count,boat_reports_count,top_species_1,top_species_1_count,top_species_2,top_species_2_count,top_species_3,top_species_3_count
2024-08-16,kangaroo_bluff,1,1,0,0,1,0,0,0,squid,1,,,,
2024-08-30,kangaroo_bluff,1,1,0,0,0,0,0,0,squid,1,,,,
2024-09-10,south_arm,1,1,0,0,0,0,0,0,kingfish,1,,,,
2024-09-11,hobart,0,0,0,0,0,0,0,0,,,,,,
2024-10-06,south_arm,1,1,0,0,0,0,0,0,squid,1,,,,
2024-10-12,kangaroo_bluff,0,0,0,0,0,0,0,0,,,,,,
2024-10-12,south_arm,2,2,0,0,0,0,0,0,australian_salmon,1,trout,1,,
2024-10-21,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2024-11-16,tasmania,1,1,0,0,0,0,0,0,squid,1,,,,
2024-12-30,hobart,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-01-05,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-01-06,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-01-13,tasmania,1,1,0,0,0,0,0,1,trout,1,,,,
2025-01-15,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2025-01-15,woods_lake,1,1,0,0,1,0,0,0,trout,1,,,,
2025-01-28,tasmania,1,1,0,0,0,0,0,1,squid,1,,,,
2025-02-03,tasmania,0,0,0,0,0,0,0,0,,,,,,
2025-02-07,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2025-02-09,tasmania,1,1,0,0,0,1,0,1,shark,1,,,,
2025-02-10,launceston,1,1,0,0,0,1,0,0,trout,1,,,,
2025-02-10,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-02-12,hobart,0,0,0,0,0,0,0,0,,,,,,
2025-02-12,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2025-02-16,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-02-18,hobart,1,1,0,0,0,0,0,0,squid,1,,,,
2025-02-27,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-02-28,derwent,0,0,0,0,0,1,0,0,,,,,,
2025-02-28,tasmania,2,2,0,0,0,0,1,0,kingfish,1,tuna,1,,
2025-03-12,tasmania,1,1,0,0,0,1,0,0,squid,1,,,,
2025-03-20,hobart,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-03-23,tasmania,1,1,0,0,1,0,0,0,trout,1,,,,
2025-03-25,tasmania,1,1,0,0,0,1,0,0,australian_salmon,1,,,,
2025-03-27,tasmania,3,3,0,0,0,0,0,1,mackerel,1,jack_mackerel,1,shark,1
2025-04-17,塔斯曼大桥_钓鱼,1,1,0,0,0,0,0,0,tuna,1,,,,
2025-04-27,tasmania,2,2,0,0,1,1,0,0,tuna,1,bream,1,,
2025-04-28,lake_huntsman,1,1,0,0,0,0,0,1,trout,1,,,,
2025-04-28,tasmania,0,0,0,0,1,0,0,0,,,,,,
2025-04-29,bellerive,1,1,0,0,0,0,0,0,bream,1,,,,
2025-04-29,tasmania,1,1,0,0,0,1,1,0,tuna,1,,,,
2025-04-30,south_arm,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-04-30,tasmania,2,2,0,0,0,1,0,0,striped_trumpeter,1,flathead,1,,
2025-05-18,south_arm,1,1,0,0,0,0,1,0,snapper,1,,,,
2025-05-22,derwent,1,1,0,0,1,0,0,1,shark,1,,,,
2025-06-03,great_lake,1,1,0,0,0,0,0,0,trout,1,,,,
2025-06-08,derwent,1,1,0,0,0,1,0,1,trout,1,,,,
2025-06-18,tasmania,1,1,0,0,0,0,0,0,australian_salmon,1,,,,
2025-06-23,eaglehawk_neck,1,1,0,0,0,0,0,1,striped_trumpeter,1,,,,
2025-06-25,hobart,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-06-25,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-06-29,tasmania,1,1,0,0,0,1,0,0,bream,1,,,,
2025-06-30,tasmania,0,0,0,0,0,0,0,0,,,,,,
2025-07-02,hobart,1,1,0,0,0,0,1,0,bream,1,,,,
2025-07-06,derwent,1,1,0,0,0,1,0,0,trout,1,,,,
2025-07-16,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-08-09,south_arm,0,0,0,0,0,0,0,0,,,,,,
2025-08-17,four_springs,1,1,0,0,1,0,0,0,trout,1,,,,
2025-08-23,camden_dam,1,1,0,0,0,1,0,0,trout,1,,,,
2025-08-24,lake_plimsoll,2,1,0,0,0,0,0,0,trout,2,,,,
2025-08-24,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-08-27,tasmania,2,1,0,0,0,1,0,0,trout,2,,,,
2025-08-28,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2025-08-30,new_norfolk,1,1,0,0,0,1,0,0,trout,1,,,,
2025-08-30,tasmania,2,1,0,0,0,1,0,0,trout,2,,,,
2025-09-02,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-09-04,tasmania,0,0,0,0,0,0,0,0,,,,,,
2025-09-06,bradys_lake,1,1,0,0,0,1,0,0,trout,1,,,,
2025-09-07,derwent,0,0,0,0,0,0,0,0,,,,,,
2025-09-07,tasmania,0,0,0,0,0,2,0,0,,,,,,
2025-09-09,澳洲三文鱼_钓鱼,1,1,0,0,0,0,0,0,australian_salmon,1,,,,
2025-09-10,lake_crescent,0,0,0,0,0,1,1,0,,,,,,
2025-10-01,hobart,1,1,0,0,0,0,0,0,squid,1,,,,
2025-10-07,tasmania,1,1,0,0,0,1,0,0,snapper,1,,,,
2025-10-22,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-10-24,derwent,0,0,0,0,0,1,0,0,,,,,,
2025-10-26,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2025-10-28,tasmania,0,0,0,0,0,2,0,0,,,,,,
2025-10-29,tasmania,1,1,0,0,0,2,1,1,tuna,1,,,,
2025-10-29,澳洲三文鱼_钓鱼,1,1,0,0,0,0,0,0,australian_salmon,1,,,,
2025-10-31,kangaroo_bluff,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-11-04,tasmania,2,1,0,0,0,0,0,0,trout,2,,,,
2025-11-05,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-11-06,tasmania,1,1,0,0,0,1,0,0,bream,1,,,,
2025-11-10,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2025-11-25,kangaroo_bluff,0,0,0,0,0,0,1,0,,,,,,
2025-11-29,tasmania,1,1,0,0,0,0,0,0,squid,1,,,,
2025-12-01,hobart,1,1,0,0,0,0,0,0,squid,1,,,,
2025-12-02,tasmania,2,1,0,1,0,0,0,0,trout,2,,,,
2025-12-03,kangaroo_bluff,1,1,0,0,0,0,0,0,squid,1,,,,
2025-12-04,hobart,0,0,0,0,0,0,0,0,,,,,,
2025-12-04,kangaroo_bluff,0,0,0,0,0,0,0,0,,,,,,
2025-12-05,tasmania,1,1,0,0,0,0,0,0,squid,1,,,,
2025-12-06,tamar_river,1,1,0,0,0,1,0,0,snapper,1,,,,
2025-12-06,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-12-07,hobart,1,1,0,0,0,0,0,0,kingfish,1,,,,
2025-12-07,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2025-12-08,eaglehawk_neck,1,1,0,0,0,1,0,1,tuna,1,,,,
2025-12-08,tasmania,1,1,0,0,0,0,0,0,tuna,1,,,,
2025-12-09,hobart,2,1,0,0,0,0,0,0,squid,2,,,,
2025-12-09,tasmania,1,1,0,0,0,0,0,0,squid,1,,,,
2025-12-20,tasmania,0,0,0,0,0,1,0,1,,,,,,
2025-12-21,great_lake,0,0,0,0,0,0,0,0,,,,,,
2025-12-23,tasmania,1,1,0,0,0,1,0,0,snapper,1,,,,
2025-12-28,derwent,1,1,0,0,0,0,0,0,trevally,1,,,,
2025-12-28,lake_crescent,1,1,0,0,0,0,0,0,trout,1,,,,
2025-12-28,tasmania,0,0,0,0,0,1,0,0,,,,,,
2025-12-29,hobart,1,1,0,0,0,0,1,0,trout,1,,,,
2025-12-29,tasmania,2,2,0,0,0,1,0,0,australian_salmon,1,trout,1,,
2025-12-31,tasmania,3,3,0,0,0,2,0,1,tuna,1,australian_salmon,1,bream,1
2026-01-02,great_lake,1,1,0,0,0,0,0,0,trout,1,,,,
2026-01-03,great_lake,1,1,0,0,0,0,0,0,trout,1,,,,
2026-01-05,derwent,1,1,0,0,0,0,0,0,bream,1,,,,
2026-01-06,kangaroo_bluff,0,0,0,0,0,0,0,0,,,,,,
2026-01-07,kelso,1,1,0,0,0,1,0,0,squid,1,,,,
2026-01-09,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2026-01-11,lake_macintosh,1,1,0,0,0,1,1,0,trout,1,,,,
2026-01-14,penguin,1,1,0,0,0,0,0,0,trout,1,,,,
2026-01-19,south_arm,1,1,0,0,0,0,0,0,bream,1,,,,
2026-01-21,lake_plimsoll,1,1,0,0,0,0,0,0,trout,1,,,,
2026-01-21,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2026-01-26,hobart,2,1,0,0,0,0,0,0,wrasse,2,,,,
2026-01-26,lake_leake,1,1,0,0,0,1,0,0,trout,1,,,,
2026-01-26,tasmania,1,1,0,0,1,0,0,0,trout,1,,,,
2026-01-28,east_coast_tasmania,1,1,0,0,0,1,0,0,bream,1,,,,
2026-01-29,tasmania,2,2,0,0,0,0,0,0,gummy_shark,1,shark,1,,
2026-01-31,tasmania,2,2,0,0,0,1,1,0,flathead,1,cod,1,,
2026-02-03,hobart,1,1,0,0,0,0,0,0,kingfish,1,,,,
2026-02-04,lake_crescent,1,1,0,0,0,1,0,0,trout,1,,,,
2026-02-04,tasmania,1,1,0,0,0,0,0,1,flathead,1,,,,
2026-02-09,hobart,2,1,0,0,0,0,0,0,snapper,2,,,,
2026-02-10,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2026-02-14,tasmania,1,1,0,0,0,1,0,0,snapper,1,,,,
2026-02-17,tasmania,1,1,0,0,0,1,0,0,snapper,1,,,,
2026-02-18,lake_crescent,1,1,0,0,0,1,0,0,trout,1,,,,
2026-02-19,tasmania,2,2,0,0,0,0,0,0,australian_salmon,1,trout,1,,
2026-02-22,hobart,1,1,0,0,0,0,0,0,squid,1,,,,
2026-02-22,lake_macintosh,1,1,0,0,0,0,0,0,trout,1,,,,
2026-02-27,tasmania,1,1,0,0,0,0,1,0,snapper,1,,,,
2026-02-28,hobart,1,1,0,0,0,1,0,1,flathead,1,,,,
2026-03-03,hobart,1,1,0,0,0,1,0,0,squid,1,,,,
2026-03-03,tasmania,1,1,0,0,0,0,0,0,squid,1,,,,
2026-03-07,derwent,1,1,0,0,0,1,0,1,bream,1,,,,
2026-03-07,east_coast_tasmania,1,1,1,0,0,0,1,0,australian_salmon,1,,,,
2026-03-08,white_beach,2,2,0,0,0,0,1,0,australian_salmon,1,squid,1,,
2026-03-10,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2026-03-11,hobart,2,2,0,0,0,0,0,1,kingfish,1,striped_trumpeter,1,,
2026-03-15,hobart,3,2,0,0,0,0,0,2,flathead,2,australian_salmon,1,,
2026-03-15,tasmania,1,1,1,0,0,0,0,0,australian_salmon,1,,,,
2026-03-16,arthur_river,1,1,0,0,0,1,0,0,australian_salmon,1,,,,
2026-03-17,hobart,1,1,0,0,0,0,0,0,squid,1,,,,
2026-03-18,lake_crescent,1,1,0,0,0,0,0,0,trout,1,,,,
2026-03-20,great_lake,1,1,0,0,0,0,0,0,trout,1,,,,
2026-03-20,tasmania,1,1,0,0,0,0,0,0,australian_salmon,1,,,,
2026-03-22,hobart,2,2,0,0,0,0,0,0,australian_salmon,1,bream,1,,
2026-03-24,tasmania,1,1,0,0,0,0,0,0,mackerel,1,,,,
2026-03-25,lake_crescent,1,1,0,0,0,0,0,0,trout,1,,,,
2026-03-25,south_arm,1,1,0,0,0,0,0,0,kingfish,1,,,,
2026-03-30,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2026-03-31,derwent,1,1,0,0,0,0,1,0,trevally,1,,,,
2026-03-31,hobart,1,1,0,0,0,0,0,1,tuna,1,,,,
2026-04-01,kelso,1,1,0,0,0,1,0,1,australian_salmon,1,,,,
2026-04-01,lake_crescent,1,1,0,0,0,1,1,0,trout,1,,,,
2026-04-01,tasmania,1,1,0,0,0,0,0,0,shark,1,,,,
2026-04-02,tasmania,3,3,0,0,1,0,0,0,bream,1,trevally,1,wrasse,1
2026-04-03,hobart,1,1,0,0,0,0,0,1,tuna,1,,,,
2026-04-03,tasmania,0,0,0,0,0,0,0,0,,,,,,
2026-04-04,eaglehawk_neck,1,1,0,0,0,1,0,1,tuna,1,,,,
2026-04-04,hobart,1,1,0,0,0,0,0,1,tuna,1,,,,
2026-04-04,tasmania,2,2,0,0,0,0,1,0,flathead,1,bream,1,,
2026-04-06,binalong_bay,1,1,0,0,0,1,0,0,squid,1,,,,
2026-04-06,tasmania,3,2,0,0,0,1,1,0,australian_salmon,2,mackerel,1,,
2026-04-07,tasmania,1,1,1,1,0,1,0,0,australian_salmon,1,,,,
2026-04-08,tasmania,1,1,0,0,0,1,0,0,gummy_shark,1,,,,
2026-04-09,tasmania,2,2,0,0,0,1,1,0,snapper,1,tuna,1,,
2026-04-10,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2026-04-11,hobart,1,1,1,0,0,0,0,1,tuna,1,,,,
2026-04-11,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2026-04-12,hobart,4,1,1,0,0,0,0,4,tuna,4,,,,
2026-04-13,hobart,1,1,0,0,0,0,0,1,tuna,1,,,,
2026-04-13,tasmania,0,0,0,0,0,0,0,0,,,,,,
2026-04-18,tasmania,0,0,0,0,0,0,1,0,,,,,,
2026-04-19,tasmania,0,0,0,0,0,1,1,0,,,,,,
