captured_at,date,source_platform,source_type,location_text,normalized_area,normalized_micro_spot,shore_vs_boat,species_mentions,schooling_signal,surface_activity_signal,size_signal,method_mentions,evidence_confidence,raw_excerpt,url_or_reference
2026-04-08T16:26:59,2026-04-01,facebook,facebook_browser_probe,Kelso,kelso,,boat,australian_salmon,unknown,unknown,large,,medium,"3 salmon at once on a Sabiki. 30cm, 28cm, 26cm. Kelso 28/3/26 on 2500 reel 2-4kg rod.",https://www.facebook.com/groups/365640693613260/posts/3426105724233393/
2026-04-08T16:26:59,2026-04-06,facebook,facebook_browser_probe,Binalong Bay,binalong_bay,,unknown,squid,unknown,unknown,large,,medium,Few solid squid over the weekend Binalong bay. Happy Easter,https://www.facebook.com/groups/283165128726817/posts/2702338150142824/
2026-04-08T16:26:59,2026-01-02,facebook,facebook_browser_probe,Great Lake,great_lake,,unknown,trout,unknown,unknown,unknown,,medium,Was a good day and a half up great lake fish where patchy but managed to find some beter models 12 fish boated for the trip best fish was a super thick rainbow Sting cobras doing the damage yet again,https://www.facebook.com/groups/283165128726817/posts/2614775598899080/
2026-04-08T16:26:59,2026-01-03,facebook,facebook_browser_probe,Great Lake,great_lake,,unknown,trout,unknown,unknown,unknown,,medium,"Fished great lake again yesterday afternoon for a few hours, took the father inlaw and another good mate who were real keen to get onto some trout, landed 12 in total and kept 10 for a few feeds of fantastic conditioned trout, caught on a mix of diawa and rapalas, lofty cobras and a couple of my homemade cobra lures, the lake didn't let us down and the boys were stoked",https://www.facebook.com/groups/283165128726817/posts/2615342228842417/
2026-04-08T17:02:28,2025-11-06,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,bream,unknown,unknown,large,,medium,Caught this solid bream yesterday with a pretty serious gash!!!,https://www.facebook.com/groups/283165128726817/posts/2564737070569600/
2026-04-08T17:02:28,2025-11-04,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Huge. Double figure trout caught in a 2 hr season. 1 of. 3. Caught an released
0:00 / 0:08",https://www.facebook.com/groups/283165128726817/posts/2563006770742630/
2026-04-08T17:03:31,2025-11-05,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,Beautiful condition brown trout from Western Lakes,https://www.facebook.com/groups/283165128726817/posts/2563629120680395/
2026-04-08T17:13:00,2026-04-04,facebook,facebook_browser_probe,Eaglehawk Neck,eaglehawk_neck,,boat,tuna,unknown,unknown,large,,medium,Quick drag after setting the pots yiew (image-confirmed large tuna catch near Eaglehawk Neck),https://www.facebook.com/groups/283165128726817/posts/2699791333730839/
2026-04-08T17:13:41,2026-04-01,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,shore,trout,unknown,unknown,large,,medium,Up at Lake Cresant this morning... only the one fish (image-confirmed brown trout at Lake Crescent),https://www.facebook.com/groups/283165128726817/posts/2697484997294806/
2026-04-08T17:18:59,2026-03-22,facebook,facebook_browser_probe,Hobart,hobart,,unknown,australian_salmon;bream,unknown,unknown,unknown,,medium,"Had a very quick session on the Derwent this morning.
A couple bream and a couple good salmon on a custom painted lure",https://www.facebook.com/groups/283165128726817/posts/2687831854926787/
2026-04-08T17:19:09,2026-03-20,facebook,facebook_browser_probe,Great Lake,great_lake,,unknown,trout,unknown,unknown,unknown,,medium,"Good afternoon out on the Great Lake in the cider park bay, all caught on a gold cobra with red spots (image-confirmed multi-trout catch)",https://www.facebook.com/groups/283165128726817/posts/2685893558453950/
2026-04-08T17:19:19,2026-03-20,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,australian_salmon,unknown,unknown,unknown,,medium,"Caught some cocky salmon today ,guts full of what looks like a worm,olive green and up to 10 inches long , never seen them before",https://www.facebook.com/groups/283165128726817/posts/2685793848463921/
2026-04-08T17:49:51,2026-03-25,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,unknown,trout,unknown,unknown,unknown,,medium,"Back up to crescent this morning to get a couple more trips in before it shuts...
Ebony Forster and myself with a couple of nice Brown trout on the keitech soft plastics, we dropped a couple each aswell....slight breeze plenty jumping....",https://www.facebook.com/groups/283165128726817/posts/2690746237968682/
2026-04-08T17:51:32,2026-03-31,facebook,facebook_browser_probe,Derwent,derwent,,shore,trevally,unknown,unknown,unknown,,medium,Derwent is on fire even ticking off trevs in the Derwent,https://www.facebook.com/groups/283165128726817/posts/2696808654029107/
2026-04-08T18:12:49,2026-03-18,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,unknown,trout,unknown,unknown,unknown,,medium,Back up to crescent for a morning fish ... picked one up and lost a good one on keitech soft plastic (image-confirmed brown trout at Lake Crescent),https://www.facebook.com/groups/283165128726817/posts/2683831291993510/
2026-04-08T18:13:10,2026-03-16,facebook,facebook_browser_probe,Arthur River,arthur_river,,unknown,australian_salmon,unknown,unknown,decent,,medium,"Good couple days on the Arthur river!!!
Salmon went 80cm!!!",https://www.facebook.com/groups/283165128726817/posts/2682110032165636/
2026-04-08T18:13:30,2026-03-15,facebook,facebook_browser_probe,Hobart,hobart,,unknown,australian_salmon,unknown,unknown,unknown,,medium,Some soild salmon getting about at the moment,https://www.facebook.com/groups/283165128726817/posts/2680837832292856/
2026-04-08T18:16:34,2026-03-08,facebook,facebook_browser_probe,White Beach,white_beach,,shore,australian_salmon;squid,unknown,unknown,unknown,,medium,White Beach first fishing trip with mixed catch; image-assisted rescue indicates Australian salmon and squid.,https://www.facebook.com/groups/283165128726817/posts/2674883522888287/
2026-04-08T18:16:44,2026-03-07,facebook,facebook_browser_probe,East Coast Tasmania,east_coast_tasmania,,shore,australian_salmon,clear,unknown,unknown,,medium,"heading up the east coast yesterday and my mrs left her phone and wallet on the back of our ute and didn't realise until I got a call from her mother asking if she was ok, because her phone had sent a SOS msg that she'd had a crash when really her phone had just fallen off the back of the ute at the top of Bust Me Gall hall. But catching this salmon takes away the pain of loosing her phone, anyone selling a cheap tinny slide into my dms, caught it on bait which apparently doesn't happen often,
i",https://www.facebook.com/groups/283165128726817/posts/2674181546291818/
2026-04-08T18:16:55,2026-03-07,facebook,facebook_browser_probe,Derwent,derwent,,boat,bream,unknown,unknown,large,,medium,Derwent still got these monsters (image-confirmed large black bream from kayak/boat).,https://www.facebook.com/groups/283165128726817/posts/2674180809625225/
2026-04-08T18:32:41,2026-02-27,facebook,facebook_browser_probe,Tasmania,tasmania,,shore,snapper,unknown,unknown,unknown,,medium,Caught a nice snapper of shore,https://www.facebook.com/groups/283165128726817/posts/2666955730347733/
2026-04-08T18:34:03,2026-02-22,facebook,facebook_browser_probe,Lake Macintosh,lake_macintosh,,unknown,trout,unknown,unknown,unknown,,medium,"Ethan with a couple of brown trout out of the river below lake macintosh today ...both released caught on soft plastics...
0:00 / 0:07
0:00 / 0:08",https://www.facebook.com/groups/283165128726817/posts/2662084394168200/
2026-04-08T18:35:58,2026-02-18,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,unknown,trout,unknown,unknown,large,,medium,Lake Crescent morning session with daughters; Ebony holding a nice brownie (brown trout).,https://www.facebook.com/groups/283165128726817/posts/2658121494564490/
2026-04-08T18:41:02,2026-02-14,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,snapper,unknown,unknown,large,,medium,New south Tassie pb snapper. Went 830,https://www.facebook.com/groups/283165128726817/posts/2653859851657321/
2026-04-08T19:14:43,2026-02-04,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,unknown,trout,unknown,unknown,decent,,medium,"My two daughters and i whent back upto lake crescent this morning, India and Ebony both with a nice Brown trout each caught on a soft plastic olive pearl t.tail...we lost a couple aswell... all released...",https://www.facebook.com/groups/283165128726817/posts/2644261675950472/
2026-04-08T19:16:04,2026-01-28,facebook,facebook_browser_probe,East Coast Tasmania,east_coast_tasmania,,unknown,bream,unknown,unknown,large,,medium,Afew big fellas from the east coast,https://www.facebook.com/groups/283165128726817/posts/2638025279907445/
2026-04-08T19:18:12,2026-01-26,facebook,facebook_browser_probe,Lake Leake,lake_leake,,unknown,trout,unknown,unknown,large,,medium,Lake Leake weekend post; little brother snagged another donkey after the comp (treated as large trout catch).,https://www.facebook.com/groups/283165128726817/posts/2635569900152983/
2026-04-08T19:21:21,2026-01-21,facebook,facebook_browser_probe,Lake Plimsoll,lake_plimsoll,,unknown,trout,unknown,unknown,unknown,,medium,"My daughter INDIA with her first ever Brook Trout out of Lake Plimsol today, caught on a black and gold t.tail soft plastic, and released....",https://www.facebook.com/groups/283165128726817/posts/2631033877273252/
2026-04-08T19:21:51,2026-01-14,facebook,facebook_browser_probe,Penguin,penguin,,unknown,trout,unknown,unknown,unknown,,medium,"Ethan Forster and I went for a quick fish up the back of penguin after he finished work...Nice golden Brown trout
Caught on the soft plastic black and gold t,tail ..
Released for another day...",https://www.facebook.com/groups/283165128726817/posts/2625031617873478/
2026-04-08T19:22:22,2026-01-11,facebook,facebook_browser_probe,Lake Macintosh,lake_macintosh,,shore,trout,unknown,unknown,decent,,medium,"A crazy change in the weather at lake macintosh today down to 4 degrees...
It was hard going with 4 small Brown trout caught by my brother Sean and my son Ethan...",https://www.facebook.com/groups/283165128726817/posts/2622610404782266/
2026-04-08T19:24:11,2026-01-09,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Nice little rainbow trout Ethan Forster is holding caught out of Talbot's Lagoon yesterday evening, caught on mudeye...",https://www.facebook.com/groups/283165128726817/posts/2620537398322900/
2026-04-08T19:25:13,2026-01-07,facebook,facebook_browser_probe,Kelso,kelso,,unknown,squid,unknown,unknown,decent,,medium,"Squid fishing is going alright at kelso
Bagged out Sunday and then caught a 40cm hood today",https://www.facebook.com/groups/283165128726817/posts/2619089055134401/
2026-04-08T19:27:18,2026-01-05,facebook,facebook_browser_probe,Derwent,derwent,,unknown,bream,unknown,unknown,unknown,,medium,"Caught this huge fish out of the Derwent today!
One day I’ll actually catch a bream",https://www.facebook.com/groups/283165128726817/posts/2617305871979386/
2026-04-08T19:27:59,2025-12-31,facebook,facebook_browser_probe,Tasmania,tasmania,,boat,tuna;australian_salmon,unknown,unknown,large,,medium,Unique Fishing Tours morning trip; image-assisted rescue indicates at least one large tuna plus multiple salmon-like fish on dock.,https://www.facebook.com/groups/283165128726817/posts/2613031219073518/
2026-04-08T19:28:40,2025-12-31,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,bream,unknown,unknown,decent,,medium,"47cm Bream my daughter caught yesterday at Midway Point causeway
1,444",https://www.facebook.com/groups/283165128726817/posts/2612686495774657/
2026-04-08T19:34:23,2025-12-29,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,australian_salmon,unknown,unknown,unknown,,medium,"Good session ￼this morning
0:00 / 0:09
0:00 / 0:05",https://www.facebook.com/groups/283165128726817/posts/2611125072597466/
2026-04-08T19:34:33,2025-12-29,facebook,facebook_browser_probe,Hobart,hobart,,shore,trout,unknown,unknown,unknown,,medium,Fly-fishing rivers and creeks north and south of Hobart; image-confirmed brown trout with multiple fish landed and more missed.,https://www.facebook.com/groups/283165128726817/posts/2611004999276140/
2026-04-08T19:34:43,2025-12-29,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,large,,medium,2nd good fish for the season (image-confirmed brown trout trophy fish).,https://www.facebook.com/groups/283165128726817/posts/2610770972632876/
2026-04-08T19:35:04,2025-12-28,facebook,facebook_browser_probe,Derwent,derwent,,unknown,trevally,unknown,unknown,unknown,,medium,Few sambos and Tailor about the Derwent on change of tide,https://www.facebook.com/groups/283165128726817/posts/2610514869325153/
2026-04-08T19:35:34,2025-12-28,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,,unknown,unknown,decent,,medium,Caught using crabs Forth River,https://www.facebook.com/groups/283165128726817/posts/2610464369330203/
2026-04-08T19:46:09,2025-12-28,facebook,facebook_browser_probe,Lake Crescent,lake_crescent,,unknown,trout,unknown,unknown,unknown,,medium,"This morning Ethan , Ebony and myself whent to Lake crescent with no luck...so we fishd the Clyde River were Ethan got a nice Brownie on soft plastic and released it....Then we went to the western Lakes, we fished Carters lake and Ethan caught a nice Brownie there on a hard body ,released it aswell....the Wether was very hot and slight breeze....",https://www.facebook.com/groups/283165128726817/posts/2610368472673126/
2026-04-08T19:47:21,2025-12-23,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,snapper,unknown,unknown,decent,,medium,First snapper,https://www.facebook.com/groups/283165128726817/posts/2606526936390613/
2026-04-08T19:47:31,2025-12-21,facebook,facebook_browser_probe,Great Lake,great_lake,,unknown,,unknown,unknown,unknown,,medium,Great lake fished well this morning,https://www.facebook.com/groups/283165128726817/posts/2604447999931840/
2026-04-08T19:47:41,2025-12-20,facebook,facebook_browser_probe,Tasmania,tasmania,,boat,,unknown,unknown,decent,,medium,"Quick sessions this morning was
Wasn’t expecting much, on the water at 1030, light breeze and sunny! Great weather to be on the water, not great fishing conditions / timing.
First fish was a PB for Finn and the boat, went off the 40cm measure to the fork
fat as fat! Ended up throwing up a half digested fish in the well
I think we ended up with 7 eaters!
Back home for lunch",https://www.facebook.com/groups/283165128726817/posts/2603778786665428/
2026-04-08T19:52:21,2025-12-08,facebook,facebook_browser_probe,Eaglehawk Neck,eaglehawk_neck,,boat,tuna,unknown,unknown,large,,medium,"youtube video i’ve chucked together showcasing our wicked day on the water. biggest bluefin ever weighed in tasmanian waters. biggest of the 3 barrel bluefin we landed within the last 3 weekends, have a watch and enjoy, will be another barrel video coming shortly… cheers
— 和 Travis Conrades 、
其他 2 位用户
YOUTUBE.COM
160kg TASSIE BLUEFIN!! BIGGEST EVER CAUGHT IN TAS!!",https://www.facebook.com/groups/283165128726817/posts/2593557214354252/
2026-04-08T19:52:51,2025-12-07,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Some nice rainbow trout from yesterday, all went 3 pound each caught 4 all up, the second photo was the first trout we caught.",https://www.facebook.com/groups/283165128726817/posts/2592371734472800/
2026-04-08T19:53:02,2025-12-06,facebook,facebook_browser_probe,Tamar River,tamar_river,,unknown,snapper,unknown,unknown,decent,,medium,First tamar river snapper for season.,https://www.facebook.com/groups/283165128726817/posts/2591873444522629/
2026-04-08T19:54:13,2025-12-06,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,kingfish,unknown,unknown,unknown,,medium,"Dad had to step in to land it but well done Ellie on her first land-based kingfish.
0:00 / 0:24",https://www.facebook.com/groups/283165128726817/posts/2591779821198658/
2026-04-08T19:54:23,2025-12-02,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,,unknown,unknown,unknown,,medium,We whent for a quick fish for a couple hours before dark tonight ... Ethan with a couple of nice Brownies....,https://www.facebook.com/groups/283165128726817/posts/2588543204855653/
2026-04-08T19:54:33,2025-12-02,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Trout Classic
https://youtu.be/vgB1mqqpet8?si=SUFy872kqS5i2oHv
YOUTUBE.COM
Trout Classic 2025 - Right Decisions - Poor Execution",https://www.facebook.com/groups/283165128726817/posts/2588472141529426/
2026-04-08T19:54:43,2025-12-02,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Trout Classic
https://youtu.be/vgB1mqqpet8?si=SUFy872kqS5i2oHv
YOUTUBE.COM
Trout Classic 2025 - Right Decisions - Poor Execution
还没有任何评论哦
抢沙发~",https://www.facebook.com/groups/283165128726817/posts/2588471944862779/
2026-04-08T19:54:53,2025-12-02,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,,unknown,clear,unknown,,medium,"Quick little mission this morning, beautiful conditions. 3 fish on 3 bites… all feeding on the surface, would have been nice for a few more to be moving…. The very low water level doesn’t held
2” berkley bulky hawg doing the damage
0:00 / 0:06",https://www.facebook.com/groups/283165128726817/posts/2588448061531834/
2026-04-08T20:38:31,2025-08-24,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,Another one again tonight,https://www.facebook.com/groups/283165128726817/posts/2493896524320322/
2026-04-08T20:38:51,2025-08-24,facebook,facebook_browser_probe,Lake Plimsoll,lake_plimsoll,,unknown,trout,unknown,unknown,unknown,,medium,Ethan Forster with 4 pics of 5 Brook Trout he caught today at Lake Plimsol....,https://www.facebook.com/groups/283165128726817/posts/2493821240994517/
2026-04-08T20:39:01,2025-08-24,facebook,facebook_browser_probe,Lake Plimsoll,lake_plimsoll,,unknown,trout,unknown,unknown,unknown,,medium,Ebony Forster with 3 Brook Trout she caught today at Lake Plimsol. .....,https://www.facebook.com/groups/283165128726817/posts/2493677461008895/
2026-04-08T20:39:11,2025-08-23,facebook,facebook_browser_probe,Camden Dam,camden_dam,,unknown,trout,unknown,unknown,decent,,medium,"Camden Dam opener session; landed 7 trout for the afternoon and kept 3, biggest around 3 to 4 lb.",https://www.facebook.com/groups/283165128726817/posts/2492884854421489/
2026-04-08T20:40:23,2025-08-17,facebook,facebook_browser_probe,Four Springs,four_springs,,unknown,trout,unknown,unknown,small,,medium,"Bagged out at Four Springs; spinning and trolling session, trout bag reached.",https://www.facebook.com/groups/283165128726817/posts/2487341554975819/
2026-04-08T20:41:34,2025-08-30,facebook,facebook_browser_probe,New Norfolk,new_norfolk,,unknown,trout,unknown,unknown,large,,medium,5.5 lb sea-run trout caught in New Norfolk.,https://www.facebook.com/groups/283165128726817/posts/2499375740439067/
2026-04-08T20:41:44,2025-08-30,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,decent,,medium,Nice catch and release,https://www.facebook.com/groups/283165128726817/posts/2499340283775946/
2026-04-08T20:41:55,2025-08-30,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Wedge today
49
4
联系人
Meta AI
Shiyu Wu
Jiayi Li
1小时
Rabin Mandal
Dongyi Guo
26分钟
Ritesh Adalja",https://www.facebook.com/groups/283165128726817/posts/2499077373802237/
2026-04-08T20:42:25,2025-08-28,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,decent,,medium,My first ever trout. Hooked on the sport straight up.,https://www.facebook.com/groups/283165128726817/posts/2497141267329181/
2026-04-08T20:42:45,2025-08-27,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,"Starting to fill up and the fish were on
First double bag for the season and yes they all go back so chill out
And take your rubbish home with you",https://www.facebook.com/groups/283165128726817/posts/2496555957387712/
2026-04-08T20:42:56,2025-08-27,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,large,,medium,Got the nice one I’ve been chasing,https://www.facebook.com/groups/283165128726817/posts/2496419277401380/
2026-04-08T20:44:39,2025-09-06,facebook,facebook_browser_probe,Bradys Lake,bradys_lake,,unknown,trout,unknown,unknown,decent,,medium,"Bradys Lake early-season trout landed on a black and gold t-tail, among snow conditions.",https://www.facebook.com/groups/283165128726817/posts/2505106343199340/
2026-04-08T20:45:00,2025-09-04,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,,unknown,unknown,unknown,,medium,Caught this absolute stonker in the Tamar this morning on a rapala countdown (spotted dog) released to be caught another day,https://www.facebook.com/groups/283165128726817/posts/2503260313383943/
2026-04-08T20:45:10,2025-09-02,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,trout,unknown,unknown,unknown,,medium,Here are my first trout of the season!!,https://www.facebook.com/groups/283165128726817/posts/2501615450215096/
2026-04-08T20:47:40,2025-04-29,facebook,facebook_browser_probe,Tasmania,tasmania,,shore,tuna,unknown,unknown,large,,medium,"As the cray season sadly comes to a close for most fishers, here's our most recent upload and the most memorable cray capture of the season for us.
Making the most of a weather window we headed South and were able to explore some sensational ground, bagging out with a 3kg cray from the depths of a rock pool cave and some solid bluefin tuna on the return journey!
YOUTUBE.COM
3KG CRAY in Caves and Rock Pools + 30KG TUNA!! (South Coast of Tasmania)",https://www.facebook.com/groups/365640693613260/posts/3069435476567088/
2026-04-08T20:48:41,2025-04-28,facebook,facebook_browser_probe,Lake Huntsman,lake_huntsman,,boat,trout,unknown,unknown,unknown,,medium,"Nice rainbow trout caught at Lake Huntsman, around 1.4kg.",https://www.facebook.com/groups/365640693613260/posts/3067568593420443/
2026-04-08T20:49:02,2025-04-28,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,,unknown,unknown,small,,medium,"My boy found himself locked on to a small one
0:00 / 1:19",https://www.facebook.com/groups/365640693613260/posts/3067982143379088/
2026-04-08T20:49:12,2025-04-27,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,tuna,unknown,unknown,small,,medium,"First ever tuna. Put up a good fight shame it was only one with the boys over the long weekend
Weather was good
Very small amount of birds and bait balls about but it was a good time",https://www.facebook.com/groups/365640693613260/posts/3067202166790419/
2026-04-08T20:49:22,2025-04-27,facebook,facebook_browser_probe,Tasmania,tasmania,,unknown,bream,unknown,unknown,large,,medium,Young fella got a nice bream today,https://www.facebook.com/groups/365640693613260/posts/3067223750121594/
